;;;PT. Dream Dare Discover;;;;;;;;;;
;;;Kuantitas Barang per Gudang;;;;;;;;;;
;;;Per Tgl. 19 Jan 2026;;;;;;;;;;
;;;"Cabang : Kantor Pusat, BALI AREA, Baby, Jakarta, Jawa Timur, Lombok, NTT, Online, Sulawesi, Sumatera, Gudang : Warehouse Bali ...";;;;;;;;;;
Nama Barang;;Kode Barang;;Warehouse Bali Gatsu - Box;Warehouse Bali Gatsu - Protol;Warehouse Bali Gatsu Reject;Warehouse Pluit;Warehouse Pluit Reject;Warehouse Pusat;Warehouse Pusat Protol;Warehouse Pusat Reject;;Total Nama Gudang
"BABY BATMAN 1, 23/24, BLUE";;Z2BT01Z24;;0;0;0;49;0;-8;52;9;;102
"BABY BATMAN 1, 25/26, BLUE";;Z2BT01Z26;;0;0;0;19;0;-4;11;1;;27
"BABY BATMAN 2, 23/24, YELLOW";;Z2BT02Z24;;0;0;0;2;0;0;1;1;;4
"BABY BATMAN 2, 25/26, YELLOW";;Z2BT02Z26;;0;0;0;3;0;0;0;1;;4
"BABY BOYS CLASSIC 1, 21/22, STEEL BLUE";;BB2CA01Z21;;0;0;0;0;0;0;0;3;;3
;;Z2CA01Z21;;0;0;0;2;0;0;5;3;;10
"BABY BOYS CLASSIC 1, 23/24, STEEL BLUE";;BB2CA01Z23;;0;0;0;0;0;0;0;2;;2
;;Z2CA01Z23;;0;0;0;6;0;0;4;13;;23
"BABY BOYS CLASSIC 1, 25/26, STEEL BLUE";;BB2CA01Z25;;0;0;0;0;0;0;2;4;;6
;;Z2CA01Z25;;0;0;0;0;0;0;1;1;;2
"BABY BOYS CLASSIC 2, 21/22, HAZELNUT";;BB2CA02Z21;;0;0;0;0;0;0;0;0;;0
;;Z2CA02Z21;;0;12;0;0;0;0;23;0;;35
;;Z2CAV102Z22;;172;0;0;52;0;416;16;1;;657
"BABY BOYS CLASSIC 2, 23/24, HAZELNUT";;BB2CA02Z23;;0;0;0;2;0;0;0;4;;6
;;Z2CA02Z23;;0;13;0;1;0;0;15;1;;30
;;Z2CAV102Z24;;215;1;0;74;0;520;25;0;;835
"BABY BOYS CLASSIC 2, 25/26, HAZELNUT";;BB2CA02Z25;;0;0;0;2;0;0;0;1;;3
;;Z2CA02Z25;;0;2;0;0;0;0;3;1;;6
;;Z2CAV102Z26;;129;0;0;43;0;312;7;0;;491
"BABY BOYS COLLAB 1, 21, DISNEY MICKEY BLACK";;BB1BZ21CL1;;0;0;0;0;0;0;0;14;;14
"BABY BOYS COLLAB 1, 21/22, DISNEY MICKEY BLACK";;SJ1B03CL1;;0;0;0;0;0;0;0;4;;4
;;Z2CL01Z21;;0;0;0;64;0;-32;50;68;;150
"BABY BOYS COLLAB 1, 22, DISNEY MICKEY BLACK";;BB1BZ22CL1;;0;0;0;0;0;0;1;16;;17
