;;CV MAKMUR BESAR BERSAMA;;;;;;;;
;;Kuantitas Barang per Gudang;;;;;;;;
;;Per Tgl. 19 Jan 2026;;;;;;;;
;;"Cabang : Kantor Pusat, Baby, Bali Area, Jakarta, Jawa Timur, Lombok NTT, NTT, Online, Papua, Gudang : Warehouse Jakarta, Ware ...";;;;;;;;
Nama Barang;;;Kode Barang;Warehouse Bali Gatsu - Box;Warehouse Bali Gatsu - Protolan;Warehouse Jakarta;Warehouse Pusat;Warehouse Pusat Reject;Total Nama Gudang;
"BABY BATMAN 1, 23/24, BLUE";;;Z2BT01Z24;"0,";"-14,";"-96,";"0,";"0,";"-110,";
;;;Total Kode Barang;"0,";"-14,";"-96,";"0,";"0,";"-110,";
"BABY BATMAN 1, 25/26, BLUE";;;Z2BT01Z26;"0,";"0,";"-48,";"0,";"0,";"-48,";
;;;Total Kode Barang;"0,";"0,";"-48,";"0,";"0,";"-48,";
"BABY BATMAN 2, 23/24, YELLOW";;;Z2BT02Z24;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BATMAN 2, 25/26, YELLOW";;;Z2BT02Z26;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS CLASSIC 1, 21/22, STEEL BLUE";;;Z2CA01Z21;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS CLASSIC 1, 23/24, STEEL BLUE";;;Z2CA01Z23;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS CLASSIC 1, 25/26, STEEL BLUE";;;Z2CA01Z25;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS CLASSIC 2, 21/22, HAZELNUT";;;Z2CA02Z21;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Z2CAV102Z22;"-12,";"0,";"-28,";"-144,";"0,";"-184,";
;;;Total Kode Barang;"-12,";"0,";"-28,";"-144,";"0,";"-184,";
"BABY BOYS CLASSIC 2, 23/24, HAZELNUT";;;Z2CA02Z23;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Z2CAV102Z24;"-15,";"0,";"-35,";"-180,";"0,";"-230,";
;;;Total Kode Barang;"-15,";"0,";"-35,";"-180,";"0,";"-230,";
"BABY BOYS CLASSIC 2, 25/26, HAZELNUT";;;Z2CA02Z25;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Z2CAV102Z26;"-9,";"0,";"-21,";"-108,";"0,";"-138,";
