;;CV. UNTUNG BESAR BERSAMA;;;;;;;;
;;Kuantitas Barang per Gudang;;;;;;;;
;;Per Tgl. 19 Jan 2026;;;;;;;;
;;"Cabang : [Semua Cabang], Gudang : Warehouse Jakarta, Warehouse Pusat, Warehouse Bali Gatsu-Box, Warehouse Bali Gatsu-Protol,  ...";;;;;;;;
Nama Barang;;;Kode Barang;Warehouse Bali Gatsu-Box;Warehouse Bali Gatsu-Protol;Warehouse Jakarta;Warehouse Pusat;Warehouse Pusat Reject;Total Nama Gudang;
"BABY BATMAN 1, 23/24, BLUE";;;Z2BT01Z24;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BATMAN 1, 25/26, BLUE";;;Z2BT01Z26;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BATMAN 2, 23/24, YELLOW";;;Z2BT02Z24;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BATMAN 2, 25/26, YELLOW";;;Z2BT02Z26;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS CLASSIC 1, 21/22, STEEL BLUE";;;Z2CA01Z21;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS CLASSIC 1, 23/24, STEEL BLUE";;;Z2CA01Z23;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS CLASSIC 1, 25/26, STEEL BLUE";;;Z2CA01Z25;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS CLASSIC 2, 21/22, HAZELNUT";;;Z2CA02Z21;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS CLASSIC 2, 23/24, HAZELNUT";;;Z2CA02Z23;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS CLASSIC 2, 25/26, HAZELNUT";;;Z2CA02Z25;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS COLLAB 1, 21/22, DISNEY MICKEY BLACK";;;Z2CL01Z21;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS COLLAB 1, 23/24, DISNEY MICKEY BLACK";;;Z2CL01Z23;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS COLLAB 1, 25/26, DISNEY MICKEY BLACK";;;Z2CL01Z25;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS COLLAB 2, 21/22, DISNEY MICKEY & FRIENDS BLUE";;;Z2MF02Z21;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS COLLAB 2, 23/24, DISNEY MICKEY & FRIENDS BLUE";;;Z2MF02Z23;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS COLLAB 2, 24, DISNEY MICKEY & FRIENDS BLUE";;;Z1MF02Z24;"0,";"0,";"0,";"0,";"0,";"0,";
