ZUMA Dalung;2.177
ZUMA Epicentrum;2.488
ZUMA GALAXY MALL;2.427
ZUMA Kedonganan;2.215
ZUMA Kesiman;2.945
ZUMA MALL OF INDONESIA (MOI);1.720
ZUMA Mall Bali Galeria;2.257
ZUMA Panjer;2.562
ZUMA Peguyangan;1.716
ZUMA Peliatan;2.567
ZUMA Penatih;2.807
ZUMA Singaraja;4.036
ZUMA Tabanan;2.996
ZUMA Tanah Lot;908
Zuma Bajra;2.684
Zuma Bangli;2.842
Zuma BatuBulan;2.695
Zuma Bintaro Xchange;2.100
Zuma City Of Tomorrow Mall;916
Zuma Icon Mall Gresik;2.488
Zuma Jembrana;2.705
Zuma Kapal;1.946
Zuma KarangAsem;2.768
Zuma Klungkung;2.418
Zuma Lebah Peliatan;2.086
Zuma Level 21;1.645
Zuma Lippo Bali;845
Zuma Lippo Batu;1.276
Zuma Lippo Mall Puri;1.186
Zuma Lippo Sidoarjo;1.927
Zuma Living World;1.191
Zuma MATOS;1.555
Zuma Mall Bali Icon;1.848
Zuma Mall Olympic Garden;1.681
Zuma Mataram Lombok;4.120
Zuma Mega Mall Manado;2.317
Zuma Monang Maning;2.729
Zuma Monkey Forest Ubud;1.087
Zuma Nagoya Hill Batam;2.352
Zuma PTC;1.849
Zuma Pemogan;1.678
Zuma Pluit Village Mall;3.345
Zuma Royal Plaza;1.142
Zuma SKA MALL;2.554
Zuma Seririt;3.809
Zuma Sunrise Mall Mojokerto;2.878
Zuma Tunjungan Plaza 3;1.958
Zuma Uluwatu;3.189
;
;107.630
