DATABASE KODE SKU,,3,4,5,6,7,8,9,10,11
,,,,,,,,,,
Kode Variant(*),Kode(*),Japit Fashion,Nama Barang,Nama Variant(*),Ukuran(*),Tier,Gender,Seri,Series,Version
Z2CA01Z21,Z2CA01,Jepit,BABY BOYS CLASSIC 1 STEEL BLUE,"BABY BOYS CLASSIC 1, 21/22, STEEL BLUE",21/22,2,BABY,CLASSIC,CLASSIC,V1
BB2CA01Z21,BB2CA01,Jepit,BABY BOYS CLASSIC 1 STEEL BLUE,"BABY BOYS CLASSIC 1, 21/22, STEEL BLUE",21/22,2,BABY,CLASSIC,CLASSIC,V1
Z2CA01Z23,Z2CA01,Jepit,BABY BOYS CLASSIC 1 STEEL BLUE,"BABY BOYS CLASSIC 1, 23/24, STEEL BLUE",23/24,2,BABY,CLASSIC,CLASSIC,V1
BB2CA01Z23,BB2CA01,Jepit,BABY BOYS CLASSIC 1 STEEL BLUE,"BABY BOYS CLASSIC 1, 23/24, STEEL BLUE",23/24,2,BABY,CLASSIC,CLASSIC,V1
BB2CA01Z25,BB2CA01,Jepit,BABY BOYS CLASSIC 1 STEEL BLUE,"BABY BOYS CLASSIC 1, 25/26, STEEL BLUE",25/26,2,BABY,CLASSIC,CLASSIC,V1
Z2CA01Z25,Z2CA01,Jepit,BABY BOYS CLASSIC 1 STEEL BLUE,"BABY BOYS CLASSIC 1, 25/26, STEEL BLUE",25/26,2,BABY,CLASSIC,CLASSIC,V1
Z2CA02Z21,Z2CA02,Jepit,BABY BOYS CLASSIC 2 HAZELNUT,"BABY BOYS CLASSIC 2, 21/22, HAZELNUT",21/22,2,BABY,CLASSIC,CLASSIC,V1
BB2CA02Z21,BB2CA02,Jepit,BABY BOYS CLASSIC 2 HAZELNUT,"BABY BOYS CLASSIC 2, 21/22, HAZELNUT",21/22,2,BABY,CLASSIC,CLASSIC,V1
Z2CA02Z23,Z2CA02,Jepit,BABY BOYS CLASSIC 2 HAZELNUT,"BABY BOYS CLASSIC 2, 23/24, HAZELNUT",23/24,2,BABY,CLASSIC,CLASSIC,V1
BB2CA02Z23,BB2CA02,Jepit,BABY BOYS CLASSIC 2 HAZELNUT,"BABY BOYS CLASSIC 2, 23/24, HAZELNUT",23/24,2,BABY,CLASSIC,CLASSIC,V1
Z2CA02Z25,Z2CA02,Jepit,BABY BOYS CLASSIC 2 HAZELNUT,"BABY BOYS CLASSIC 2, 25/26, HAZELNUT",25/26,2,BABY,CLASSIC,CLASSIC,V1
BB2CA02Z25,BB2CA02,Jepit,BABY BOYS CLASSIC 2 HAZELNUT,"BABY BOYS CLASSIC 2, 25/26, HAZELNUT",25/26,2,BABY,CLASSIC,CLASSIC,V1
BB1BZ21CL1,BB1BZCL1,Fashion,BABY BOYS CLASSIC 2 HAZELNUT,"BABY BOYS COLLAB 1, 21, DISNEY MICKEY BLACK",21,2,BABY,MICKEY,MICKEY,V1
Z2CL01Z21,Z2CL01,Fashion,BABY BOYS COLLAB 1 DISNEY MICKEY BLACK,"BABY BOYS COLLAB 1, 21/22, DISNEY MICKEY BLACK",21/22,2,BABY,MICKEY,MICKEY,V1
SJ1B03CL1,SJ1BCL1,Jepit,BABY BOYS COLLAB 1 DISNEY MICKEY BLACK,"BABY BOYS COLLAB 1, 21/22, DISNEY MICKEY BLACK",21/22,6,BABY,MICKEY,MICKEY,V1
BB1BZ22CL1,BB1BZCL1,Fashion,BABY BOYS COLLAB 1 DISNEY MICKEY BLACK,"BABY BOYS COLLAB 1, 22, DISNEY MICKEY BLACK",22,2,BABY,MICKEY,MICKEY,V1
BB1BZ23CL1,BB1BZCL1,Fashion,BABY BOYS COLLAB 1 DISNEY MICKEY BLACK,"BABY BOYS COLLAB 1, 23, DISNEY MICKEY BLACK",23,2,BABY,MICKEY,MICKEY,V1
